Test Leap Motion Data
Time min, sec, ms,X,Y,Z,Roll,Pitch,Yaw,time from start
9,24,267,1.19606,5.53008,41.3023,0.375139,0.0849993,0.161644,5.822,
9,24,267,1.15497,5.42084,40.8867,0.365983,0.0593324,0.156555,5.843,
9,24,267,1.11168,5.25676,40.2679,0.346236,0.0325447,0.155016,5.865,
9,24,267,1.10103,5.19774,40.0467,0.337362,0.0248299,0.153642,5.88,
9,24,267,1.06864,5.02711,39.3982,0.312268,0.0131368,0.150703,5.903,
9,24,267,1.04945,4.83233,38.658,0.28088,-0.00101829,0.145355,5.926,
9,24,267,1.03855,4.7101,38.187,0.264389,-0.0161005,0.140607,5.947,
9,24,267,1.02063,4.53834,37.5123,0.2458,-0.0379002,0.135057,5.968,
9,24,267,1.00683,4.41287,37.0108,0.227244,-0.0460134,0.132051,5.987,
9,24,267,0.982064,4.27524,36.4437,0.236194,-0.0344021,0.131501,6.006,
9,24,267,0.961854,4.12567,35.8229,0.218023,-0.0383617,0.130636,6.026,
9,24,267,0.926936,3.89231,34.8279,0.202005,-0.0351612,0.131609,6.045,
9,24,267,0.907435,3.74631,34.1926,0.19601,-0.0414794,0.126583,6.065,
9,24,267,0.892307,3.60561,33.5725,0.190886,-0.0353986,0.120226,6.084,
9,24,267,0.875595,3.46416,32.9355,0.182719,-0.0366802,0.110036,6.104,
9,24,267,0.855727,3.31799,32.2608,0.166687,-0.0445918,0.103509,6.12,
9,24,267,0.822964,3.11536,31.2946,0.153232,-0.0575974,0.092296,6.14,
9,24,267,0.795282,2.97922,30.6208,0.140088,-0.058036,0.0832112,6.16,
9,24,267,0.766577,2.85275,29.9768,0.124582,-0.0621769,0.0780231,6.181,
9,24,267,0.741176,2.73653,29.3734,0.116817,-0.0556183,0.0739257,6.2,
9,24,267,0.699874,2.56638,28.4604,0.102226,-0.048238,0.0674693,6.219,
9,24,267,0.674207,2.45798,27.8637,0.0908145,-0.0372089,0.0607695,6.238,
9,24,267,0.65308,2.36159,27.3241,0.0935711,-0.0231724,0.0529353,6.258,
9,24,267,0.630195,2.26176,26.7521,0.0895666,-0.0138687,0.0403242,6.272,
