Test motor Data
q1,q2,q3,q6,q7
7.00525,11.0079,8.506,1.99763,-0.0533122,
7.00525,11.0079,8.506,1.98918,-0.0543063,
7.00525,11.0079,8.506,1.97918,-0.055282,
7.00525,11.0079,8.506,1.96981,-0.0559632,
7.00525,11.0079,8.506,1.95934,-0.0564049,
7.00525,11.0079,8.50713,1.94899,-0.0564049,
7.00525,11.0079,8.50713,1.93634,-0.0564049,
7.00525,11.0079,8.50713,1.92261,-0.0555213,
7.00525,11.0079,8.50713,1.91433,-0.0550243,
7.00525,11.0079,8.50713,1.90065,-0.0536252,
7.00525,11.0079,8.50713,1.88572,-0.0515266,
7.00525,11.0079,8.50713,1.87163,-0.0491887,
7.00525,11.0079,8.50713,1.8575,-0.0464641,
7.00525,11.0079,8.50713,1.84233,-0.0430953,
7.00525,11.0079,8.50713,1.82731,-0.0396528,
7.00525,11.0079,8.50713,1.81286,-0.0361367,
7.00525,11.0079,8.50713,1.79724,-0.0323261,
7.00525,11.0079,8.50713,1.78125,-0.0285707,
7.00525,11.0079,8.50713,1.7642,-0.0249993,
7.00525,11.0079,8.50713,1.74771,-0.0221643,
7.00525,11.0079,8.50713,1.73252,-0.0198264,
7.00525,11.0079,8.50713,1.71868,-0.0180224,
7.00525,11.0079,8.50713,1.70369,-0.0163839,
7.00525,11.0079,8.50713,1.69239,-0.0155371,
7.00525,11.0079,8.50713,1.67797,-0.0145983,
7.00525,11.0079,8.50713,1.66748,-0.0141933,
7.00525,11.0079,8.50713,1.654,-0.0138435,
7.00525,11.0079,8.50713,1.64491,-0.0134938,
7.00525,11.0079,8.50713,1.63569,-0.0134201,
7.00525,11.0079,8.50713,1.62225,-0.0130519,
7.00525,11.0079,8.50713,1.60817,-0.0126837,
7.00525,11.0079,8.50713,1.59574,-0.0121315,
7.00525,11.0079,8.50713,1.58488,-0.0115424,
7.00525,11.0079,8.50713,1.57174,-0.0108429,
7.00525,11.0079,8.50713,1.56119,-0.0104195,
7.00525,11.0079,8.50713,1.55143,-0.00997764,
7.00525,11.0079,8.50713,1.54123,-0.00988561,
7.00525,11.0079,8.50713,1.53251,-0.00988561,
7.00525,11.0079,8.50713,1.52479,-0.00988561,
7.00525,11.0079,8.50713,1.51997,-0.00988561,
7.00525,11.0079,8.50713,1.51113,-0.00986719,
7.00525,11.0079,8.50713,1.50478,-0.00714266,
7.00525,11.0079,8.50713,1.49849,-0.00311112,
7.00525,11.009,8.50638,1.4935,0.00149107,
7.00525,11.0107,8.50778,1.49052,0.00476789,
7.00525,11.0151,8.50945,1.4877,0.00806308,
7.00673,11.0201,8.51238,1.48545,0.0106587,
7.01205,11.0352,8.52241,1.4821,0.0138435,
7.02283,11.0595,8.54117,1.47897,0.0156659,
7.03125,11.078,8.55291,1.47743,0.0160341,
7.05038,11.1112,8.5772,1.47527,0.0160341,
7.07467,11.1482,8.6062,1.47341,0.0160341,
7.10753,11.1924,8.63632,1.47194,0.0151689,
7.12952,11.2197,8.65632,1.47113,0.0141565,
7.16652,11.2631,8.69102,1.47015,0.0130335,
7.20794,11.3089,8.72238,1.46933,0.0120394,
7.25077,11.3562,8.75685,1.46865,0.0111005,
7.297,11.4005,8.79093,1.46811,0.010217,
7.34556,11.4473,8.82633,1.46765,0.00920445,
7.4081,11.508,8.87141,1.46704,0.0078606,
7.47421,11.5649,8.91593,1.4664,0.00618535,
7.54963,11.634,8.97156,1.46546,0.00381064,
7.62523,11.6963,9.01664,1.46452,0.000681102,
7.69629,11.7571,9.06313,1.46344,-0.00285339,
7.77185,11.8215,9.11229,1.46218,-0.00719792,
7.84623,11.8848,9.16059,1.46084,-0.0117633,
7.91889,11.9534,9.21005,1.4594,-0.0167337,
7.99667,12.0164,9.25933,1.45788,-0.021428,
8.08505,12.0886,9.31557,1.45605,-0.0267298,
8.16661,12.1623,9.37488,1.45429,-0.03124,
8.25783,12.2379,9.42878,1.45261,-0.0349033,
8.34108,12.3108,9.48392,1.45106,-0.0375542,
8.40119,12.3674,9.53479,1.45009,-0.0388797,
8.4846,12.4416,9.58604,1.44915,-0.0398921,
8.56273,12.5085,9.63316,1.44856,-0.0399106,
8.63396,12.5734,9.68668,1.44856,-0.0390269,
8.70382,12.6376,9.7305,1.44856,-0.0372781,
8.77743,12.7061,9.78645,1.44974,-0.0345536,
8.81956,12.7455,9.81161,1.45049,-0.032639,
8.89085,12.8129,9.86215,1.45224,-0.02881,
8.96071,12.8826,9.91319,1.4544,-0.0247048,
9.03226,12.9483,9.96355,1.45692,-0.0203603,
9.09602,13.0165,10.012,1.45961,-0.0158685,
9.14029,13.054,10.0462,1.46158,-0.0125733,
9.21962,13.1358,10.1015,1.46487,-0.00706905,
9.28116,13.2005,10.1521,1.46756,-0.00191456,
9.343,13.2575,10.192,1.46984,0.00289017,
9.40231,13.3184,10.2366,1.47203,0.00797105,
9.45918,13.3776,10.2796,1.47398,0.0132176,
9.51371,13.4349,10.3212,1.4757,0.0180223,
9.57003,13.4948,10.3646,1.4773,0.0229559,
9.62666,13.5613,10.4106,1.47871,0.0280184,
9.68478,13.622,10.4553,1.47987,0.0323629,
9.73912,13.6825,10.4985,1.48081,0.036376,
9.796,13.7469,10.548,1.48153,0.0404075,
9.8517,13.8086,10.5925,1.48207,0.0435371,
9.90524,13.8715,10.6331,1.48232,0.0465193,
9.95794,13.9342,10.6771,1.48271,0.0494463,
10.0053,13.9913,10.717,1.48291,0.0520052,
10.0557,14.0526,10.7632,1.48324,0.0547481,
10.1044,14.1149,10.8023,1.48365,0.0577672,
10.1538,14.1761,10.8446,1.48455,0.0610808,
10.2015,14.2383,10.8868,1.48547,0.0646521,
10.2496,14.297,10.9278,1.48676,0.068702,
10.2982,14.3571,10.9696,1.48853,0.0732675,
10.3492,14.4263,11.0159,1.49081,0.0785877,
10.3985,14.4893,11.0592,1.49333,0.0842208,
10.443,14.5492,11.0994,1.49595,0.0895225,
10.4861,14.6077,11.1419,1.49867,0.0949716,
10.5147,14.6467,11.1646,1.50046,0.0984693,
10.538,14.6812,11.1868,1.50211,0.101783,
10.5827,14.7403,11.2268,1.50484,0.106901,
10.6264,14.8006,11.2667,1.50747,0.111448,
10.674,14.869,11.3147,1.51007,0.116381,
10.7205,14.9339,11.3541,1.51233,0.121444,
10.7669,14.9991,11.4004,1.51415,0.126175,
10.8162,15.0689,11.4496,1.51586,0.13155,
